test_name,time_raw,dimension,crit1,crit2,avg_memory_mb,max_memory_mb,equation_count,variable_count,memory_per_sec,criteria_sum,resource,config,source_file,test_key,time_seconds,timeout_seconds,timed_out,effective_time_seconds
reif,0.0762,16,302.0,24.0,26.9844,52.3789,14,16,687.3872,326.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,reif,0.0762,,False,0.0762
reimer4,4.3016,4,64.0,312.0,47.1029,56.8516,4,4,13.2164,376.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,reimer4,4.3016,,False,4.3016
reimer5,79.0985,5,279.0,1964.0,74.3041,81.0,5,5,1.024,2243.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,reimer5,79.0985,,False,79.0985
rose,0.2069,3,12.0,110.0,27.4707,53.4258,3,3,258.2203,122.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,rose,0.2069,,False,0.2069
s9_1,0.0658,8,74.0,9.0,27.2266,53.1602,8,8,807.9051,83.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,s9_1,0.0658,,False,0.0658
solotarev,0.0087,4,18.0,2.0,27.1504,51.8789,4,4,5963.0927,20.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,solotarev,0.0087,,False,0.0087
sparse5,0.0016,5,10.0,0.0,26.9219,51.7344,5,5,32333.9844,10.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,sparse5,0.0016,,False,0.0016
speer,8.9423,6,104.0,1934.0,51.5678,57.5977,4,6,6.441,2038.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,speer,8.9423,,False,8.9423
tangents,1.5886,6,226.0,127.0,37.2031,55.3477,6,6,34.8405,353.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,tangents,1.5886,,False,1.5886
test,0.0066,3,1.0,4.0,26.8574,51.832,4,3,7853.3381,5.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,test,0.0066,,False,0.0066
uteshev_bikker,0.4039,4,36.0,66.0,28.0371,54.457,4,4,134.828,102.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,uteshev_bikker,0.4039,,False,0.4039
vermeer,1.1347,5,58.0,246.0,36.6185,54.2031,4,5,47.7687,304.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,vermeer,1.1347,,False,1.1347
assur44,324.9751,8,1933.0,3552.0,145.3287,193.9805,8,8,0.5969,5485.0,RAM,1g,data/series_1/RAM/summary_1g.csv,assur44,324.9751,,False,324.9751
