test_name,time_raw,dimension,crit1,crit2,avg_memory_mb,max_memory_mb,equation_count,variable_count,memory_per_sec,criteria_sum,resource,config,source_file,test_key,time_seconds,timeout_seconds,timed_out,effective_time_seconds
comb3000s,0.1229,10,151.0,20.0,0.2031,0.2031,10,10,1.6528,171.0,CPU,4,data/series_1/CPU/summary_4.csv,comb3000s,0.1229,,False,0.1229
conform1,0.0224,3,9.0,30.0,0.1914,0.1914,3,3,8.5449,39.0,CPU,4,data/series_1/CPU/summary_4.csv,conform1,0.0224,,False,0.0224
cpdm5,40.1006,5,348.0,2586.0,62.264,65.5859,5,5,1.6355,2934.0,CPU,4,data/series_1/CPU/summary_4.csv,cpdm5,40.1006,,False,40.1006
cyclic5,0.2274,5,98.0,353.0,0.25,0.25,5,5,1.0994,451.0,CPU,4,data/series_1/CPU/summary_4.csv,cyclic5,0.2274,,False,0.2274
cyclic6,12.5707,6,564.0,3891.0,53.7148,59.9023,6,6,4.7652,4455.0,CPU,4,data/series_1/CPU/summary_4.csv,cyclic6,12.5707,,False,12.5707
d1,46.6541,12,2279.0,2000.0,78.8431,100.9453,12,12,2.1637,4279.0,CPU,4,data/series_1/CPU/summary_4.csv,d1,46.6541,,False,46.6541
des18_3,3.3026,8,275.0,375.0,41.4922,55.9414,8,8,16.9386,650.0,CPU,4,data/series_1/CPU/summary_4.csv,des18_3,3.3026,,False,3.3026
des22_24,4.1951,10,501.0,364.0,45.3156,59.2422,10,10,14.1218,865.0,CPU,4,data/series_1/CPU/summary_4.csv,des22_24,4.1951,,False,4.1951
dessin1,3.2601,8,275.0,377.0,41.4727,55.9922,8,8,17.175,652.0,CPU,4,data/series_1/CPU/summary_4.csv,dessin1,3.2601,,False,3.2601
dessin2,6.0731,10,558.0,334.0,49.4464,60.7383,10,10,10.0012,892.0,CPU,4,data/series_1/CPU/summary_4.csv,dessin2,6.0731,,False,6.0731
eco7,1.6127,7,272.0,238.0,26.9453,53.5977,7,7,33.2347,510.0,CPU,4,data/series_1/CPU/summary_4.csv,eco7,1.6127,,False,1.6127
eco8,13.3321,8,802.0,993.0,54.2349,59.6016,8,8,4.4705,1795.0,CPU,4,data/series_1/CPU/summary_4.csv,eco8,13.3321,,False,13.3321
eco9,161.707,9,2348.0,3773.0,69.0231,70.9961,9,9,0.439,6121.0,CPU,4,data/series_1/CPU/summary_4.csv,eco9,161.707,,False,161.707
extcyc4,0.3082,5,137.0,460.0,0.1992,0.1992,5,5,0.6464,597.0,CPU,4,data/series_1/CPU/summary_4.csv,extcyc4,0.3082,,False,0.3082
extcyc5,59.3014,6,738.0,9169.0,70.299,84.4961,6,6,1.4249,9907.0,CPU,4,data/series_1/CPU/summary_4.csv,extcyc5,59.3014,,False,59.3014
f633,0.9744,10,318.0,630.0,26.3555,52.5078,9,10,53.8873,948.0,CPU,4,data/series_1/CPU/summary_4.csv,f633,0.9744,,False,0.9744
f744,194.7977,12,3358.0,3777.0,90.1434,100.9062,12,12,0.518,7135.0,CPU,4,data/series_1/CPU/summary_4.csv,f744,194.7977,,False,194.7977
fabrice24,127.6233,9,1225.0,1051.0,111.6975,131.9805,9,9,1.0341,2276.0,CPU,4,data/series_1/CPU/summary_4.csv,fabrice24,127.6233,,False,127.6233
filter9,138.8264,9,6132.0,17055.0,80.0463,94.9375,9,9,0.6839,23187.0,CPU,4,data/series_1/CPU/summary_4.csv,filter9,138.8264,,False,138.8264
geneig,0.5121,6,94.0,52.0,0.3906,0.3906,6,6,0.7628,146.0,CPU,4,data/series_1/CPU/summary_4.csv,geneig,0.5121,,False,0.5121
hairer1,0.029,8,42.0,25.0,0.2031,0.2031,6,8,7.0043,67.0,CPU,4,data/series_1/CPU/summary_4.csv,hairer1,0.029,,False,0.029
hcyclic5,0.1514,6,89.0,544.0,0.2031,0.2031,5,6,1.3416,633.0,CPU,4,data/series_1/CPU/summary_4.csv,hcyclic5,0.1514,,False,0.1514
hcyclic6,4.6471,7,273.0,4134.0,44.4422,56.1094,6,7,12.0741,4407.0,CPU,4,data/series_1/CPU/summary_4.csv,hcyclic6,4.6471,,False,4.6471
heart,0.0635,8,75.0,3.0,0.207,0.207,8,8,3.2603,78.0,CPU,4,data/series_1/CPU/summary_4.csv,heart,0.0635,,False,0.0635
hemmecke,0.0412,4,11.0,14.0,0.25,0.25,3,4,6.068,25.0,CPU,4,data/series_1/CPU/summary_4.csv,hemmecke,0.0412,,False,0.0412
hf744,159.3143,13,1906.0,18079.0,76.9771,83.1641,12,13,0.522,19985.0,CPU,4,data/series_1/CPU/summary_4.csv,hf744,159.3143,,False,159.3143
hietarinta1,97.7933,10,3582.0,3093.0,90.1851,101.5664,62,10,1.0386,6675.0,CPU,4,data/series_1/CPU/summary_4.csv,hietarinta1,97.7933,,False,97.7933
hunecke,0.0052,5,1.0,15.0,0.2031,0.2031,8,5,39.0625,16.0,CPU,4,data/series_1/CPU/summary_4.csv,hunecke,0.0052,,False,0.0052
i1,281.7833,12,3517.0,3566.0,186.9599,244.75,10,12,0.8686,7083.0,CPU,4,data/series_1/CPU/summary_4.csv,i1,281.7833,,False,281.7833
issac97,0.1109,4,25.0,18.0,0.2031,0.2031,4,4,1.8316,43.0,CPU,4,data/series_1/CPU/summary_4.csv,issac97,0.1109,,False,0.1109
jcf26,179.2177,34,3643.0,1050.0,133.2303,162.0742,34,34,0.9043,4693.0,CPU,4,data/series_1/CPU/summary_4.csv,jcf26,179.2177,,False,179.2177
katsura6,6.1401,7,280.0,425.0,47.9849,56.3594,7,7,9.1789,705.0,CPU,4,data/series_1/CPU/summary_4.csv,katsura6,6.1401,,False,6.1401
katsura7,48.7487,8,719.0,1752.0,61.628,65.8516,8,8,1.3508,2471.0,CPU,4,data/series_1/CPU/summary_4.csv,katsura7,48.7487,,False,48.7487
katsura8,432.7377,9,2237.0,7430.0,98.7866,106.1289,9,9,0.2452,9667.0,CPU,4,data/series_1/CPU/summary_4.csv,katsura8,432.7377,,False,432.7377
kin1,42.9875,12,2022.0,1804.0,76.3314,94.3281,12,12,2.1943,3826.0,CPU,4,data/series_1/CPU/summary_4.csv,kin1,42.9875,,False,42.9875
kinema,4.8445,9,377.0,331.0,46.6484,56.4258,9,9,11.6474,708.0,CPU,4,data/series_1/CPU/summary_4.csv,kinema,4.8445,,False,4.8445
kotsireas,288.2493,7,750.0,2977.0,205.0479,263.207,6,7,0.9131,3727.0,CPU,4,data/series_1/CPU/summary_4.csv,kotsireas,288.2493,,False,288.2493
ku10,0.102,10,795.0,190.0,0.2031,0.2031,10,10,1.9914,985.0,CPU,4,data/series_1/CPU/summary_4.csv,ku10,0.102,,False,0.102
lanconelli,0.0124,11,9.0,3.0,0.1914,0.1914,4,11,15.436,12.0,CPU,4,data/series_1/CPU/summary_4.csv,lanconelli,0.0124,,False,0.0124
lichtblau,0.5889,3,4.0,117.0,0.2656,0.2656,2,3,0.4511,121.0,CPU,4,data/series_1/CPU/summary_4.csv,lichtblau,0.5889,,False,0.5889
liu,0.0326,6,19.0,26.0,0.1875,0.1875,4,6,5.7515,45.0,CPU,4,data/series_1/CPU/summary_4.csv,liu,0.0326,,False,0.0326
lorentz,0.0202,4,27.0,17.0,0.1992,0.1992,4,4,9.8623,44.0,CPU,4,data/series_1/CPU/summary_4.csv,lorentz,0.0202,,False,0.0202
matrix,1.9558,16,4951.0,6814.0,35.776,53.7344,16,16,27.4744,11765.0,CPU,4,data/series_1/CPU/summary_4.csv,matrix,1.9558,,False,1.9558
mickey,0.0002,2,1.0,0.0,0.2031,0.2031,2,2,1015.625,1.0,CPU,4,data/series_1/CPU/summary_4.csv,mickey,0.0002,,False,0.0002
morgenstern,0.1548,9,114.0,159.0,0.1914,0.1914,5,9,1.2365,273.0,CPU,4,data/series_1/CPU/summary_4.csv,morgenstern,0.1548,,False,0.1548
noon5,6.2876,5,304.0,2047.0,47.4442,55.7734,5,5,8.8704,2351.0,CPU,4,data/series_1/CPU/summary_4.csv,noon5,6.2876,,False,6.2876
noon6,170.5402,6,1425.0,16188.0,67.3727,69.3555,6,6,0.4067,17613.0,CPU,4,data/series_1/CPU/summary_4.csv,noon6,170.5402,,False,170.5402
puma,0.0464,8,84.0,6.0,0.1992,0.1992,8,8,4.2935,90.0,CPU,4,data/series_1/CPU/summary_4.csv,puma,0.0464,,False,0.0464
quadfor2,0.0015,5,8.0,0.0,0.2031,0.2031,4,5,135.4167,8.0,CPU,4,data/series_1/CPU/summary_4.csv,quadfor2,0.0015,,False,0.0015
quadgrid,0.0239,6,22.0,3.0,0.3945,0.3945,5,6,16.5076,25.0,CPU,4,data/series_1/CPU/summary_4.csv,quadgrid,0.0239,,False,0.0239
rabmo,1.952,9,318.0,75.0,36.1172,54.1953,9,9,27.764,393.0,CPU,4,data/series_1/CPU/summary_4.csv,rabmo,1.952,,False,1.952
